线路,站区,隧道名称,锚段,杆号,跨距,结构,公里标,拉出值,导高,行别,线路类型,GPS经度,GPS纬度,RFID,站区id
杭州机场线,苕溪,,M002,M002-01,2,锚段关节,1.170572,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-02,5.7,锚段关节,1.172572,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-03,6,,1.178272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-04,6,,1.184272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-05,8,,1.190272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-06,8,,1.198272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-07,7,,1.206272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-08,8,,1.213272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-09,8,,1.221272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-10,8,,1.229272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-11,6,,1.237272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-12,5,,1.243272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,DM2,DM2-17,1,线岔,1.248272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-13,1,线岔,1.249272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,DM2,DM2-18,7,线岔,1.250272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-14,8,,1.257272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-15,8,,1.265272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-16,6,,1.273272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-17,7.1,,1.279272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-18,7.9,,1.286372,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-19,7,,1.294272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-20,6.4,,1.301272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-21,5.6,,1.307672,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-22,6,,1.313272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-23,7,,1.319272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-24,8,,1.326272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-25,8,,1.334272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-26,7,,1.342272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-27,6,,1.349272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-28,6,,1.355272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-29,6.6,,1.361272,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-30,6.4,,1.367872,200,4400,上行,刚性,,,,
杭州机场线,苕溪,,M002,M002-31,8,,1.374272,200,4400,上行,刚性,,,,
