线路,站区,隧道名称,锚段,杆号,跨距,结构,公里标,拉出值,导高,行别,线路类型,GPS经度,GPS纬度,RFID,站区id
深圳地铁16号线,田心_终点,,X143,X143-36,3,,40.2723,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-35,3,,40.2693,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-34,6,,40.2663,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-33,7,,40.2603,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-32,7.5,,40.2533,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-31,8,,40.2458,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-30,8,,40.2378,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-29,8,,40.2298,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-28,8,,40.2218,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-27,8,,40.2138,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-26,8,,40.2058,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-25,8,,40.1978,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-24,8,,40.1898,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-23,8,,40.1818,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-22,8,,40.1738,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-21,8,,40.1658,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-20,8,,40.1578,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-19,8,,40.1498,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-18,8,,40.1418,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-17,8,,40.1338,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-16,8,,40.1258,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-15,7,,40.1178,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-14,6,,40.1108,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-13,6,,40.1048,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-12,6,,40.0988,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-11,6,,40.0928,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-10,6,,40.0868,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-09,6,,40.0808,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-08,6,,40.0748,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-07,3,,40.0688,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-06,6,,40.0658,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-05,6,,40.0598,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-04,6,,40.0538,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-03,3,,40.0478,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-23,1.5,锚段关节,40.0448,200,4050,下行,刚性,,,2024051716758A011030026C,
深圳地铁16号线,田心_终点,,X143,X143-02,1.5,锚段关节,40.0433,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-22,1.5,锚段关节,40.0418,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X143,X143-01,3,锚段关节,40.0403,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-21,6,,40.0373,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-20,6,,40.0313,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-19,6,,40.0253,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-18,6,,40.0193,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-17,5,,40.0133,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-16,5,,40.0083,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-15,5,,40.0033,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-14,5,,39.9983,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-13,6,,39.9933,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-12,6,,39.9873,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-11,7.8,,39.9813,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-10,7.8,,39.9735,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-09,7.8,,39.9657,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-08,7.8,,39.9579,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-07,7.8,,39.9501,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-06,6,,39.9423,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-05,6,,39.9363,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-04,6,,39.9303,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-03,3,,39.9243,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-27,1.5,锚段关节,39.9213,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-02,1.5,锚段关节,39.9198,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-26,1.5,锚段关节,39.9183,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X142,X142-01,3,锚段关节,39.9168,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-25,6,,39.9138,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-24,7.5,,39.9078,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-23,6.8,,39.9003,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-22,7.5,,39.8935,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-21,7.5,,39.886,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-20,6,,39.8785,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-19,7.5,,39.8725,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-18,7.5,,39.865,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-17,7.5,,39.8575,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-16,7.5,,39.85,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-15,7.5,,39.8425,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-14,6,,39.835,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-13,7.5,,39.829,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-12,7.5,,39.8215,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-11,7.5,,39.814,200,4050,下行,刚性,,,,
深圳地铁16号线,田心_终点,,X141,X141-10,7.5,,39.8065,200,4050,下行,刚性,,,,
