线路,站区,隧道名称,锚段,杆号,跨距,结构,公里标,拉出值,导高,行别,线路类型,GPS经度,GPS纬度,RFID,站区id
深圳地铁16号线,大运站,,S001,S001-01,3,,10.005,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-02,4.5,,10.008,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-03,6,,10.0125,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-04,6,,10.0185,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-05,6,,10.0245,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-06,6,,10.0305,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-07,6,,10.0365,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-08,6,,10.0425,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-09,6,,10.0485,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-10,6,,10.0545,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-11,6,,10.0605,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-12,6,,10.0665,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-13,6,,10.0725,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-14,6,,10.0785,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-15,6,,10.0845,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-16,6,,10.0905,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-17,6,,10.0965,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-18,6,,10.1025,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-19,6,,10.1085,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-20,6,,10.1145,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-21,6,,10.1205,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-22,6,,10.1265,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-23,6,,10.1325,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-24,6,,10.1385,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-25,6,,10.1445,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-26,6,,10.1505,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-27,6,,10.1565,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-28,6,,10.1625,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-29,6,,10.1685,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-30,6,,10.1745,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-31,3,,10.1805,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S002-01,1.5,锚段关节,10.1835,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-32,1.5,锚段关节,10.185,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S002-02,1.5,锚段关节,10.1865,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S001,S001-33,3,锚段关节,10.188,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-03,6,,10.191,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-04,8,,10.197,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-05,8,,10.205,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-06,8,,10.213,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-07,7.5,,10.221,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-08,6,,10.2285,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-09,7.5,,10.2345,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-10,7.6,,10.242,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-11,7.5,,10.2496,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-12,7.5,,10.2571,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-13,6,,10.2646,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-14,7.5,,10.2706,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-15,7.4,,10.2781,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-16,6,,10.2855,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-17,6,,10.2915,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-18,6,,10.2975,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-19,6,,10.3035,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-20,4,,10.3095,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-21,4,,10.3135,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-22,2.5,,10.3175,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-23,1.5,锚段关节,10.32,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S003-01,1.5,锚段关节,10.3215,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S002-24,1.5,锚段关节,10.323,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S002,S003-02,3,锚段关节,10.3245,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-03,6,,10.3275,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-04,7.5,,10.3335,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-05,8,,10.341,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-06,8,,10.349,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-07,8,,10.357,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-08,8,,10.365,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-09,6,,10.373,300,4040,上行,刚性,,,,
深圳地铁16号线,大运站,,S003,S003-10,8,,10.379,300,4040,上行,刚性,,,,
