线路,站区,隧道名称,锚段,杆号,跨距,结构,公里标,拉出值,导高,行别,线路类型,GPS经度,GPS纬度,RFID,站区id
太原地铁1号线,河龙湾站,,Z001,Z001-01,2.4,,2.235409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-02,6,,2.237809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-03,7,,2.243809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-04,7.5,,2.250809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-05,7.5,,2.258309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-06,7.5,,2.265809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-07,7.5,,2.273309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-08,7,,2.280809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-09,7.5,,2.287809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-10,7.5,,2.295309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-11,7.5,,2.302809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-12,7.5,,2.310309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-13,7.8,,2.317809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-14,7.4,,2.325609,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-15,7.2,,2.333009,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-16,7.2,,2.340209,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-17,6,,2.347409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-01,1,锚段关节,2.353409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-18,1,锚段关节,2.354409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-02,1,锚段关节,2.355409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z001,Z001-19,5,锚段关节,2.356409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-03,7,,2.361409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-04,8,,2.368409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-05,7.9,,2.376409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-06,8,,2.384309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-07,8,,2.392309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-08,8,,2.400309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-09,8.3,,2.408309,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-10,8,,2.416609,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-11,8,,2.424609,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-12,7.8,,2.432609,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-13,6.8,,2.440409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-14,7.6,,2.447209,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-15,7,,2.454809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-16,8,,2.461809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-17,8,,2.469809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-18,8,,2.477809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-19,8,,2.485809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-20,8,,2.493809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-21,8,,2.501809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-22,8,,2.509809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-23,8,,2.517809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-24,7,,2.525809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-25,6,,2.532809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-01,1,锚段关节,2.538809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-26,1,锚段关节,2.539809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-02,1,锚段关节,2.540809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z002,Z002-27,5,锚段关节,2.541809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-03,7,,2.546809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-04,7,,2.553809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-05,7,,2.560809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-06,8,,2.567809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-07,7,,2.575809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-08,6,,2.582809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-09,7.2,,2.588809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站,,Z003,Z003-10,7.2,,2.596009,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-11,7.2,,2.603209,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-12,7.2,,2.610409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-13,7.2,,2.617609,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-14,7.2,,2.624809,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-15,7.2,,2.632009,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-16,6,,2.639209,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-17,7.2,,2.645209,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-18,7.2,,2.652409,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-19,7.2,,2.659609,300,4040,下行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Z003,Z003-20,7.2,,2.666809,300,4040,下行,刚性,,,,
