线路,站区,隧道名称,锚段,杆号,跨距,结构,公里标,拉出值,导高,行别,线路类型,GPS经度,GPS纬度,RFID,站区id
太原地铁1号线,河龙湾站,,Y001,Y001-01,2.4,,2.240809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-02,6,,2.243209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-03,7,,2.249209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-04,7.5,,2.256209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-05,7.5,,2.263709,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-06,7.5,,2.271209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-07,7.5,,2.278709,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-08,7,,2.286209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-09,7.5,,2.293209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-10,7.5,,2.300709,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-11,7.5,,2.308209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-12,7.5,,2.315709,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-13,7.8,,2.323209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-14,7.4,,2.331009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-15,7.2,,2.338409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-16,7.2,,2.345609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-17,6,,2.352809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-01,1,锚段关节,2.358809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-18,1,锚段关节,2.359809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-02,1,锚段关节,2.360809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y001,Y001-19,5,锚段关节,2.361809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-03,7.2,,2.366809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-04,7.2,,2.374009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-05,7.4,,2.381209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-06,8,,2.388609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-07,7.8,,2.396609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-08,7,,2.404409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-09,7.8,,2.411409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-10,7,,2.419209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-11,7,,2.426209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-12,7.6,,2.433209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-13,7,,2.440809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-14,7.2,,2.447809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-15,8.5,,2.455009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-16,8.5,,2.463509,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-17,8,,2.472009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-18,8,,2.480009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-19,8,,2.488009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-20,8,,2.496009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-21,8,,2.504009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-22,7.2,,2.512009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-23,7.2,,2.519209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-24,7.2,,2.526409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-25,7.2,,2.533609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-26,7.2,,2.540809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-27,7.2,,2.548009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-28,7.2,,2.555209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-29,6,,2.562409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y003,Y003-01,1,锚段关节,2.568409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-30,1,锚段关节,2.569409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y003,Y003-02,1,锚段关节,2.570409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y002,Y002-31,5,锚段关节,2.571409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y003,Y003-03,7.2,,2.576409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y003,Y003-04,7.2,,2.583609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y003,Y003-05,7.2,,2.590809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站,,Y003,Y003-06,7.2,,2.598009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-07,7.2,,2.605209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-08,7.2,,2.612409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-09,7.2,,2.619609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-10,7.2,,2.626809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-11,7.2,,2.634009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-12,7.2,,2.641209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-13,7.2,,2.648409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-14,7.2,,2.655609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-15,6,,2.662809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-16,7.2,,2.668809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-17,7.2,,2.676009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-18,7.2,,2.683209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-19,7.2,,2.690409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-20,7.2,,2.697609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-21,7.2,,2.704809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-22,7.2,,2.712009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-23,7.2,,2.719209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-24,7.2,,2.726409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-25,7.2,,2.733609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-26,7.2,,2.740809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-27,6,,2.748009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-01,1,锚段关节,2.754009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-28,1,锚段关节,2.755009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-02,1,锚段关节,2.756009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y003,Y003-29,5,锚段关节,2.757009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-03,7.2,,2.762009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-04,7.2,,2.769209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-05,7.2,,2.776409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-06,7.2,,2.783609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-07,6,,2.790809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-08,7.2,,2.796809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-09,7.2,,2.804009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-10,7.2,,2.811209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-11,7.2,,2.818409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-12,7.2,,2.825609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-13,7.2,,2.832809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-14,7.2,,2.840009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-15,7.2,,2.847209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-16,6,,2.854409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-17,7.2,,2.860409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-18,7.2,,2.867609,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-19,7.2,,2.874809,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-20,7.2,,2.882009,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-21,7.2,,2.889209,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-22,7.2,,2.896409,300,4040,上行,刚性,,,,
太原地铁1号线,河龙湾站至西铭路站,,Y004,Y004-23,7.2,,2.903609,300,4040,上行,刚性,,,,
